,Fly_ROI,Fly,ROI,New_ROI
76,210830_1 78,210830_1,78,54.0
59,210830_1 62,210830_1,62,55.0
27,210830_1 33,210830_1,33,56.0
26,210830_1 32,210830_1,32,57.0
74,210830_1 76,210830_1,76,58.0
94,210830_1 94,210830_1,94,59.0
142,210910_2 51,210910_2,51,58.0
327,211027_4 73,211027_4,73,65.0
397,211029_5 63,211029_5,63,57.0
28,210830_1 34,210830_1,34,60.0
413,211029_5 78,211029_5,78,58.0
407,211029_5 72,211029_5,72,59.0
403,211029_5 69,211029_5,69,60.0
392,211029_5 59,211029_5,59,61.0
381,211029_5 49,211029_5,49,62.0
372,211029_5 40,211029_5,40,63.0
364,211029_5 33,211029_5,33,64.0
360,211029_5 3,211029_5,3,65.0
353,211029_5 23,211029_5,23,66.0
319,211027_4 66,211027_4,66,66.0
288,211027_4 38,211027_4,38,67.0
251,211026_3 72,211026_3,72,52.0
235,211026_3 58,211026_3,58,53.0
214,211026_3 39,211026_3,39,54.0
191,211026_3 18,211026_3,18,55.0
170,210910_2 77,210910_2,77,59.0
145,210910_2 54,210910_2,54,60.0
138,210910_2 48,210910_2,48,61.0
133,210910_2 43,210910_2,43,62.0
102,210910_2 15,210910_2,15,63.0
86,210830_1 87,210830_1,87,61.0
68,210830_1 70,210830_1,70,62.0
51,210830_1 55,210830_1,55,63.0
40,210830_1 45,210830_1,45,64.0
37,210830_1 42,210830_1,42,65.0
32,210830_1 38,210830_1,38,66.0
29,210830_1 35,210830_1,35,67.0
21,210830_1 28,210830_1,28,68.0
16,210830_1 23,210830_1,23,69.0
7,210830_1 15,210830_1,15,70.0
1,210830_1 1,210830_1,1,71.0
20,210830_1 27,210830_1,27,72.0
22,210830_1 29,210830_1,29,73.0
30,210830_1 36,210830_1,36,74.0
35,210830_1 40,210830_1,40,75.0
38,210830_1 43,210830_1,43,76.0
50,210830_1 54,210830_1,54,77.0
67,210830_1 7,210830_1,7,78.0
81,210830_1 82,210830_1,82,79.0
90,210830_1 90,210830_1,90,80.0
110,210910_2 22,210910_2,22,64.0
134,210910_2 44,210910_2,44,65.0
141,210910_2 50,210910_2,50,66.0
147,210910_2 56,210910_2,56,67.0
190,211026_3 17,211026_3,17,56.0
209,211026_3 34,211026_3,34,57.0
233,211026_3 56,211026_3,56,58.0
249,211026_3 70,211026_3,70,59.0
277,211027_4 28,211027_4,28,68.0
298,211027_4 47,211027_4,47,69.0
346,211029_5 17,211029_5,17,67.0
359,211029_5 29,211029_5,29,68.0
362,211029_5 31,211029_5,31,69.0
369,211029_5 38,211029_5,38,70.0
380,211029_5 48,211029_5,48,71.0
382,211029_5 5,211029_5,5,72.0
398,211029_5 64,211029_5,64,73.0
405,211029_5 70,211029_5,70,74.0
412,211029_5 77,211029_5,77,75.0
167,210910_2 74,210910_2,74,68.0
287,211027_4 37,211027_4,37,70.0
99,210910_2 12,210910_2,12,69.0
229,211026_3 52,211026_3,52,60.0
150,210910_2 59,210910_2,59,70.0
399,211029_5 65,211029_5,65,76.0
146,210910_2 55,210910_2,55,71.0
119,210910_2 30,210910_2,30,72.0
293,211027_4 42,211027_4,42,71.0
107,210910_2 2,210910_2,2,73.0
231,211026_3 54,211026_3,54,61.0
54,210830_1 58,210830_1,58,81.0
158,210910_2 66,210910_2,66,74.0
250,211026_3 71,211026_3,71,62.0
232,211026_3 55,211026_3,55,63.0
203,211026_3 29,211026_3,29,64.0
96,210910_2 1,210910_2,1,75.0
77,210830_1 79,210830_1,79,82.0
307,211027_4 55,211027_4,55,72.0
42,210830_1 47,210830_1,47,83.0
128,210910_2 39,210910_2,39,76.0
323,211027_4 7,211027_4,7,73.0
230,211026_3 53,211026_3,53,65.0
179,210910_2 85,210910_2,85,77.0
53,210830_1 57,210830_1,57,84.0
201,211026_3 27,211026_3,27,66.0
115,210910_2 27,210910_2,27,78.0
247,211026_3 69,211026_3,69,67.0
101,210910_2 14,210910_2,14,79.0
120,210910_2 31,210910_2,31,80.0
